INFO 2024-06-06 21:47:18,651 middleware User karan accessed /cinema/1/13/49/
INFO 2024-06-06 21:47:55,063 middleware User karan accessed /cinema/1/13/49/
INFO 2024-06-06 21:52:17,586 middleware User karan accessed /cinema/1/13/49/
INFO 2024-06-06 21:52:40,627 middleware User karan accessed /payment/1/
INFO 2024-06-06 21:54:25,573 middleware User karan accessed /payment/1/
INFO 2024-06-06 21:54:49,294 middleware User karan accessed /payment/1/
INFO 2024-06-06 21:54:55,895 middleware User karan accessed /selectTickets/1/13/49/
INFO 2024-06-06 21:54:55,987 middleware User karan accessed /cinema/1/13/49/
INFO 2024-06-06 21:55:00,009 middleware User karan accessed /payment/1/
INFO 2024-06-06 21:58:18,713 middleware User karan accessed /movies/13/
INFO 2024-06-06 21:58:19,553 middleware User karan accessed /movies/13/
INFO 2024-06-06 21:58:23,830 middleware User karan accessed /selectTickets/1/13/49/
INFO 2024-06-06 21:58:27,016 middleware User karan accessed /selectTickets/1/13/49/
INFO 2024-06-06 21:58:27,064 middleware User karan accessed /cinema/1/13/49/
INFO 2024-06-06 21:58:30,781 middleware User karan accessed /payment/1/
INFO 2024-06-06 21:58:43,793 middleware User karan accessed /process-payment/
INFO 2024-06-06 21:59:13,386 middleware User karan accessed /payment/1/
INFO 2024-06-06 22:00:06,705 middleware User karan accessed /
INFO 2024-06-06 22:00:06,788 middleware User karan accessed /media/movie_images/monkey_man_ver3_xlg_H0sPTRm.jpg
INFO 2024-06-06 22:00:06,797 middleware User karan accessed /media/movie_images/Abigail_mVVuMac.jpeg
INFO 2024-06-06 22:00:06,835 middleware User karan accessed /media/movie_images/Dune2_RfAxS2w.jpg
INFO 2024-06-06 22:00:06,839 middleware User karan accessed /media/movie_images/fallguy_BjFHyuM.webp
INFO 2024-06-06 22:00:06,890 middleware User karan accessed /media/movie_images/Kingdom-of-the-Planet-of-the-Apes_Xr0Tc01.webp
INFO 2024-06-06 22:00:06,928 middleware User karan accessed /media/movie_images/Ghostbusters-Frozen-Empire.webp
INFO 2024-06-06 22:00:06,969 middleware User karan accessed /media/movie_images/kungfupanda4_Dkck2NN.jpg
INFO 2024-06-06 22:00:07,005 middleware User karan accessed /media/movie_images/madame_web_BhISAAe.jpg
INFO 2024-06-06 22:00:07,041 middleware User karan accessed /media/movie_images/madmax_sAnUEiZ.jpeg
INFO 2024-06-06 22:00:07,076 middleware User karan accessed /media/movie_images/The-Idea-of-You-2.webp
INFO 2024-06-06 22:00:07,116 middleware User karan accessed /media/movie_images/challengers.jpg
INFO 2024-06-06 22:00:07,122 middleware User karan accessed /media/movie_images/Mr_and_mrs_mahi.jpg
INFO 2024-06-06 22:00:11,560 middleware User karan accessed /movies/
INFO 2024-06-06 22:00:11,647 middleware User karan accessed /media/movie_images/deadpool_4gEFavb.jpg
INFO 2024-06-06 22:00:11,648 middleware User karan accessed /media/movie_images/Venom-The-Last-Dance-Trailer.png
INFO 2024-06-06 22:00:13,454 middleware User karan accessed /movies/
INFO 2024-06-06 22:00:14,601 middleware User karan accessed /movies/13/
